time,commit,dataset,experiment,variant,seq_model,order_mode,seed,seq_len,accuracy,precision,recall,f1,mcc,auc,best_dev_f1
2026-09-06T15:36:07,nogit,TwiBot-20,diagnose_order,bag,bag,keep,789,32,0.6914623837700761,0.6923076923076923,0.7734375,0.7306273062730627,0.37531266806232666,0.7460692909760589,0.7396171903214157
2026-09-06T15:36:18,nogit,TwiBot-20,diagnose_order,bag,bag,keep,2024,32,0.6745562130177515,0.6645161290322581,0.8046875,0.7279151943462897,0.3416238647723038,0.7364986187845304,0.7343804537521815
2026-09-06T15:36:26,nogit,TwiBot-20,diagnose_order,bag,bag,keep,7,32,0.6694843617920541,0.6649006622516557,0.784375,0.7197132616487455,0.33023944872611954,0.7347605893186003,0.7320214669051879
2026-09-06T15:36:36,nogit,TwiBot-20,diagnose_order,bag,bag,keep,13,32,0.6745562130177515,0.6671035386631717,0.7953125,0.7255880256593015,0.34108959695445284,0.7348267725598526,0.7342756183745583
2026-09-06T15:36:51,nogit,TwiBot-20,diagnose_order,bag,bag,keep,99,32,0.6880811496196112,0.6868965517241379,0.778125,0.7296703296703296,0.36836951582072086,0.7417558701657458,0.7345454545454545
2026-09-06T15:37:01,nogit,TwiBot-20,diagnose_order,bag,bag,keep,2025,32,0.6770921386306001,0.6666666666666666,0.80625,0.7298444130127298,0.3469225488817647,0.7341764502762431,0.7327647476901208
2026-09-06T15:37:13,nogit,TwiBot-20,diagnose_order,bag,bag,keep,314,32,0.6796280642434489,0.6785225718194254,0.775,0.7235594456601021,0.3509670196753565,0.7399487799263352,0.7317773788150808
2026-09-06T15:37:24,nogit,TwiBot-20,diagnose_order,bag,bag,keep,1618,32,0.6661031276415892,0.6618229854689565,0.7828125,0.7172512526843235,0.32321883528111817,0.729934967771639,0.731637405947689
2026-09-06T15:37:46,nogit,TwiBot-20,diagnose_order,bag,bag,keep,271,32,0.6973795435333897,0.6985915492957746,0.775,0.7348148148148148,0.3874657868923089,0.7514502762430939,0.7410909090909091
2026-09-06T15:37:56,nogit,TwiBot-20,diagnose_order,bag,bag,keep,577,32,0.6635672020287405,0.6551282051282051,0.7984375,0.719718309859155,0.31863410471802794,0.7295407458563535,0.7331688403242862
2026-09-06T15:38:08,nogit,TwiBot-20,diagnose_order,bag,bag,keep,999,32,0.6796280642434489,0.6742323097463284,0.7890625,0.7271418286537077,0.3512438348904335,0.7367058011049724,0.7317596566523605
2026-09-06T15:38:20,nogit,TwiBot-20,diagnose_order,bag,bag,keep,8128,32,0.6669484361792054,0.662269129287599,0.784375,0.7181688125894135,0.325008202417903,0.7299378453038675,0.7318634423897582
